Time,Deep,Length,HRT,COD,TN,NH4-N,C/N,c(A),CSC,XLogP3,WI,RA(P),RA(F),RA(B),RA(A),RR(NH4-N)
30,30,30,24,0,0,0,0,100,100,-2,2350,48.09,14.5089,21.1389,1.1051,0
70,16.7,33.3,72,187.44,7.96,7.96,23.55,100,10,-1.1,1234,75.239,10.5672,4.0643,3.5598,0.7266
70,33.3,16.7,72,187.44,7.96,7.96,23.55,100,10,-1.1,1234,46.4244,22.4518,12.6414,4.681,0.7266
60,13.5,24.5,72,374.88,42.98,42.98,8.72,100,1,-0.1,536,27.8386,11.604,9.0435,0,0.6906
60,13.5,24.5,36,374.88,42.98,42.98,8.72,100,1,-0.1,536,25.3326,13.7286,3.977,0,0.6906
30,26.5,26.5,36,120,25,20,4.8,0,0,0,0,63.636,11.8378,10.8065,1.2107,0.6906
90,26.5,26.5,36,120,25,20,4.8,0,0,0,0,68.0752,10.2684,6.6364,1.8384,0.6906
160,26.5,26.5,36,120,25,20,4.8,0,0,0,0,49.1078,3.5872,5.9189,6.726,0.6906
230,26.5,26.5,36,120,25,20,4.8,0,0,0,0,45.8345,5.4257,9.7303,5.7395,0.6906
30,26.5,26.5,36,120,25,20,4.8,1001,1,0.9,534,61.849,8.6426,8.0418,1.8487,0.6906
90,26.5,26.5,36,120,25,20,4.8,1001,1,0.9,534,65.5002,3.6974,12.3399,0.5546,0.6906
160,26.5,26.5,36,120,25,20,4.8,1001,1,0.9,534,64.9918,4.2058,3.6049,4.6679,0.6906
230,26.5,26.5,36,120,25,20,4.8,1001,1,0.9,534,47.5218,7.2099,5.8233,5.2687,0.6906
30,5,5,24,607,31.18,20.34,19.47,100,1,0.9,535,42.6334,19.7879,4.6192,0,0.9832
30,40,40,24,607,31.18,20.34,19.47,100,1,0.9,535,73.638,0,0,0,0.9832
30,5,120,24,607,31.18,20.34,19.47,100,1,0.9,535,51.4668,9.8093,5.6413,0,0.9832
30,40,175,24,607,31.18,20.34,19.47,100,1,0.9,535,44.6363,0,8.328,0,0.9832
56,5,20,168,299.46,57,57,60,0,0,0,0,37.5882,26.6786,14.8642,3.9381,0.9123
56,5,20,168,299.46,57,57,60,100,10,-0.2,1601,48.2182,19.7795,12.0809,9.2679,0.8947
51,5,5,39,400,20,20,20,0,0,0,0,48.2449,2.6435,5.564,19.8882,0.995
52,5,5,39,400,20,20,20,0,0,0,0,47.3398,2.1582,4.8889,24.9241,0.995
53,5,5,39,400,20,20,20,0,0,0,0,39.6149,2.9775,3.9838,26.9711,0.995
54,5,5,39,400,20,20,20,0,0,0,0,47.9974,2.1273,4.0457,22.1625,0.995
55,5,5,39,400,20,20,20,0,0,0,0,45.1043,7.7124,4.7651,21.0176,0.995
56,5,5,39,400,20,20,20,0,0,0,0,55.9186,2.6378,3.5506,21.8995,0.995
57,5,5,39,400,20,20,20,0,0,0,0,45.3673,6.1256,3.8069,22.6344,0.995
58,5,5,39,400,20,20,20,0,0,0,0,33.4003,5.2834,3.4114,25.5352,0.995
59,5,5,39,400,20,20,20,0,0,0,0,39.6971,3.071,2.8698,27.0127,0.995
60,5,5,39,400,20,20,20,0,0,0,0,41.9636,6.5134,4.0535,23.7638,0.995
111,5,5,39,400,20,20,20,200,10,-0.7,1330,39.6739,20.1744,6.289,16.2293,0.995
112,5,5,39,400,20,20,20,200,10,-0.7,1330,36.1466,8.308,5.7892,26.0533,0.995
113,5,5,39,400,20,20,20,200,10,-0.7,1330,37.7864,11.3249,5.3221,17.1189,0.995
114,5,5,39,400,20,20,20,200,10,-0.7,1330,29.0993,11.5957,4.7806,22.2863,0.995
115,5,5,39,400,20,20,20,200,10,-0.7,1330,36.1774,6.2974,4.4086,23.2455,0.995
116,5,5,39,400,20,20,20,200,10,-0.7,1330,41.4608,10.4508,3.7672,19.2384,0.995
117,5,5,39,400,20,20,20,200,10,-0.7,1330,39.6816,8.7335,5.2679,22.7736,0.995
118,5,5,39,400,20,20,20,200,10,-0.7,1330,26.593,13.5682,5.0359,20.7623,0.995
119,5,5,39,400,20,20,20,200,10,-0.7,1330,39.5424,5.8172,5.794,18.1166,0.995
120,5,5,39,400,20,20,20,200,10,-0.7,1330,34.4137,8.8186,4.7961,19.9733,0.995
28,5,5,39,400,20,20,20,0,0,0,0,47.3354,2.2761,5.0135,24.7906,0.9961
29,5,5,39,400,20,20,20,0,0,0,0,39.523,3.3218,4.0293,26.9744,0.9961
30,5,5,39,400,20,20,20,0,0,0,0,47.9198,2.1838,4.0908,22.0532,0.9961
58,5,5,39,400,20,20,20,200,10,-0.7,1330,36.0166,8.6429,5.6594,25.8979,0.9933
59,5,5,39,400,20,20,20,200,10,-0.7,1330,37.5545,11.6571,5.1673,17.3165,0.9933
60,5,5,39,400,20,20,20,200,10,-0.7,1330,29.0654,11.7186,4.8597,21.9609,0.9933
30,24.3,42.1,86.7,167.7,429.27,109.6,0.39,4.62,111,-1.1,1903,20.5501,8.2173,30.1597,0,0.6906
30,24.3,42.1,86.7,167.7,429.27,109.6,0.39,4.62,111,-1.1,1903,23.3483,5.7743,26.2954,0,0.6906
360,40,50,72,1070,30,20.65,1.5,60,110,-1.4,1864,47.712,27.106,10.021,1.988,0.6906
360,40,26.5,72,1070,30,20.65,1.5,60,110,-1.4,1864,40.862,21.733,19.02,2.418,0.6906
360,20,150,72,1070,30,20.65,1.5,60,110,-1.4,1864,49.082,6.609,8.704,3.626,0.6906
360,20,26.5,72,1070,30,20.65,1.5,60,110,-1.4,1864,48.787,5.48,7.522,3.707,0.6906
360,20,26.5,72,1070,30,20.65,1.5,60,110,-1.4,1864,46.154,4.271,7.576,3.519,0.6906
360,20,26.5,336,1070,30,20.65,1.5,60,110,-1.4,1864,53.515,5.185,11.659,4.567,0.6906
